Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 21_level_0,Unnamed: 22_level_0,Expected,Expected,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2012-2013,20,Basel,ch SUI,1. Super Lg,1st,16.0,,,,,,,,,,,,,,,4,,,,,,,,,Matches
2013-2014,21,Basel,ch SUI,1. Super Lg,1st,12.8,,,,,,,,,,,,,,,3,,,,,,,,,Matches
2013-2014,21,Chelsea,eng ENG,1. Premier League,3rd,5.6,,,,,,,,,,,,,,,1,,,,,,,,,Matches
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,0.4,,,,,,,,,,,,,,,0,,,,,,,,,Matches
2014-2015,22,Fiorentina,it ITA,1. Serie A,4th,10.1,,,,,,,,,,,,,,,3,,,,,,,,,Matches
2015-2016,23,Roma,it ITA,1. Serie A,3rd,30.3,,,,,,,,,,,,,,,6,,,,,,,,,Matches
2016-2017,24,Roma,it ITA,1. Serie A,2nd,27.5,,,,,,,,,,,,,,,11,,,,,,,,,Matches
2017-2018,25,Liverpool,eng ENG,1. Premier League,4th,32.3,772,1055,73.2,11021,3263,441,541,81.5,234,313,74.8,44,90,48.9,10,7.5,6.1,+2.5,62,42,43,3,97,Matches
2018-2019,26,Liverpool,eng ENG,1. Premier League,2nd,36.1,846,1152,73.4,10807,3092,534,647,82.5,199,273,72.9,39,78,50.0,8,9.4,8.4,-1.4,68,55,71,3,127,Matches
2019-2020,27,Liverpool,eng ENG,1. Premier League,1st,32.0,767,1035,74.1,9757,2321,463,563,82.2,211,273,77.3,26,57,45.6,10,7.8,6.9,+2.2,60,41,57,3,91,Matches
2020-2021,28,Liverpool,eng ENG,1. Premier League,3rd,34.2,1067,1302,82.0,13390,3013,718,796,90.2,246,316,77.8,36,54,66.7,5,6.2,7.0,-1.2,55,59,72,5,136,Matches
2021-2022,29,Liverpool,eng ENG,1. Premier League,2nd,30.7,875,1136,77.0,11516,3063,567,648,87.5,233,309,75.4,29,49,59.2,13,10.0,7.4,+3.0,62,46,57,4,122,Matches
2022-2023,30,Liverpool,eng ENG,1. Premier League,5th,36.6,902,1185,76.1,12538,3403,533,648,82.3,283,352,80.4,38,66,57.6,12,7.2,7.2,+4.8,65,53,80,7,149,Matches
2023-2024,31,Liverpool,eng ENG,1. Premier League,3rd,28.2,737,1010,73.0,10826,3213,433,510,84.9,234,331,70.7,43,65,66.2,10,11.8,7.5,-1.8,66,56,68,6,147,Matches
2024-2025,32,Liverpool,eng ENG,1. Premier League,1st,32.5,785,1101,71.3,11755,3340,444,530,83.8,261,375,69.6,53,86,61.6,18,12.1,7.5,+5.9,75,49,80,13,127,Matches
13 Seasons,13 Seasons,5 Clubs,,3 Leagues,,365.0,6751,8976,75.2,91610,24708,4133,4883,84.6,1901,2542,74.8,308,545,56.5,114,72.0,58.0,+42.0,513,401,528,44,996,
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Liverpool (8 Seasons),Liverpool (8 Seasons),Liverpool (8 Seasons),,1 League,,262.4,6751,8976,75.2,91610,24708,4133,4883,84.6,1901,2542,74.8,308,545,56.5,86,72.0,58.0,+14.0,513,401,528,44,996,
Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,57.7,,,,,,,,,,,,,,,17,,,,,,,,,
Basel (2 Seasons),Basel (2 Seasons),Basel (2 Seasons),,1 League,,28.8,,,,,,,,,,,,,,,7,,,,,,,,,
Chelsea (2 Seasons),Chelsea (2 Seasons),Chelsea (2 Seasons),,1 League,,5.9,,,,,,,,,,,,,,,1,,,,,,,,,
Fiorentina (1 Season),Fiorentina (1 Season),Fiorentina (1 Season),,1 League,,10.1,,,,,,,,,,,,,,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (10 Seasons),Premier League (10 Seasons),Premier League (10 Seasons),,,,268.4,6751,8976,75.2,91610,24708,4133,4883,84.6,1901,2542,74.8,308,545,56.5,87,72.0,58.0,+15.0,513,401,528,44,996,
Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,67.8,,,,,,,,,,,,,,,20,,,,,,,,,
Super Lg (2 Seasons),Super Lg (2 Seasons),Super Lg (2 Seasons),,,,28.8,,,,,,,,,,,,,,,7,,,,,,,,,
